qid,wikidata_name,display_name,country,club_qid,alias
Q3166342,Jean-Jacques Mandrichi,Jean-Jacques Mandrichi,프랑스,Q192071,
Q3166782,Jean-Louis Garcia,Jean-Louis Garcia,프랑스,Q192071,
Q316728,훌리오 세사르 카세레스,훌리오 세사르 카세레스,파라과이,Q192071,훌리오 세사르 카세레스 로페스
Q3167345,Jean-Marc Chanelet,Jean-Marc Chanelet,프랑스,Q192071,
Q3167365,장마르크 데루소,장마르크 데루소,프랑스,Q192071,
Q3167618,장마리 쿠론,장마리 쿠론,프랑스,Q192071,
Q3168022,장미셸 푸셰,장미셸 푸셰,프랑스,Q192071,장 미셸 조르주 페르디낭 아르망 푸셰
Q3168961,장피에르 바드,장피에르 바드,프랑스,Q192071,
Q3169782,Jean-Pierre Tempet,Jean-Pierre Tempet,프랑스,Q192071,
Q3170011,Jean-Sylvestre Auniac,Jean-Sylvestre Auniac,프랑스,Q192071,
Q3171712,장 데그랑주,장 데그랑주,프랑스,Q192071,장 기 데그랑주
Q3172436,장 기요,장 기요,아이티,Q192071,장 르네 카미유 기요
Q3172436,장 기요,장 기요,프랑스,Q192071,장 르네 카미유 기요
Q3174568,장 소팽,장 소팽,프랑스,Q192071,
Q317882,Frédéric Da Rocha,Frédéric Da Rocha,프랑스,Q192071,Frederic Da Rocha
Q3180453,Cristian Benavente,Cristian Benavente,스페인,Q192071,Cristian Benavente Bristol
Q3180453,Cristian Benavente,Cristian Benavente,페루,Q192071,Cristian Benavente Bristol
Q3183418,Jonathan Martins Pereira,Jonathan Martins Pereira,포르투갈,Q192071,
Q3183418,Jonathan Martins Pereira,Jonathan Martins Pereira,프랑스,Q192071,
Q3184720,Joseph Cauwelier,Joseph Cauwelier,프랑스,Q192071,
Q3186259,호세 달마오,호세 달마오,우루과이,Q192071,Jose Dalmao
Q3187414,Joël Henry,Joël Henry,프랑스,Q192071,
Q3187448,조엘 프루,조엘 프루,프랑스,Q192071,
Q3187474,Venceslas Kouassi,Venceslas Kouassi,코트디부아르,Q192071,
Q3193178,Karim Djellabi,Karim Djellabi,알제리,Q192071,
Q3193178,Karim Djellabi,Karim Djellabi,프랑스,Q192071,
Q3200053,크시슈토프 프란코프스키,크시슈토프 프란코프스키,폴란드,Q192071,
Q321649,자멜 압둔,자멜 압둔,알제리,Q192071,
Q321649,자멜 압둔,자멜 압둔,프랑스,Q192071,
Q3219444,Laurent Peyrelade,Laurent Peyrelade,프랑스,Q192071,
Q3241831,리오넬 카롤,리오넬 카롤,프랑스,Q192071,리오넬 쥘 카롤
Q3241894,Lionel Lamy,Lionel Lamy,프랑스,Q192071,
Q3262924,루이 피나,루이 피나,프랑스,Q192071,루이 조제프 레몽 피나
Q3264509,로이크 기용,로이크 기용,프랑스,Q192071,
Q3265042,뤼카 도,뤼카 도,프랑스,Q192071,
Q3266455,Luigi Glombard,Luigi Glombard,프랑스,Q192071,
Q3304518,Mehdi Leroy,Mehdi Leroy,프랑스,Q192071,
Q3308836,미셸 알발라데조,미셸 알발라데조,프랑스,Q192071,Michel Albaladejo
Q3310700,Michel Rio,Michel Rio,프랑스,Q192071,
Q3338040,네나드 베코비치,네나드 베코비치,세르비아,Q192071,
Q3338040,네나드 베코비치,네나드 베코비치,유고슬라비아,Q192071,
Q3340493,Nicolas Laspalles,Nicolas Laspalles,프랑스,Q192071,Nicolas Christian Pascal Laspalles
Q3340780,니콜라 사비노,니콜라 사비노,프랑스,Q192071,
Q3351316,Olivier Quint,Olivier Quint,프랑스,Q192071,
Q3361950,Pancho Gonzales,Pancho Gonzales,프랑스,Q192071,
Q3362956,파피 질로보지,파피 질로보지,세네갈,Q192071,엘하지 파피 미송 질로보지
Q3368931,파트리스 에로,파트리스 에로,프랑스,Q192071,
Q3368965,Patrice Kervarrec,Patrice Kervarrec,프랑스,Q192071,
Q3368978,파트리스 르코르뉘,파트리스 르코르뉘,프랑스,Q192071,파트리스 외젠 앙드레 르코르뉘
Q3368995,Patrice Mayet,Patrice Mayet,프랑스,Q192071,
Q3370945,폴 쿠르탱,폴 쿠르탱,프랑스,Q192071,
Q3379294,필리프 바로,필리프 바로,프랑스,Q192071,
Q3380230,필리프 르바바쇠르,필리프 르바바쇠르,프랑스,Q192071,필리프 가브리엘 르바바쇠르
Q3380778,Philippe Thys,Philippe Thys,프랑스,Q192071,
Q3383764,피에르 아리스투이,피에르 아리스투이,프랑스,Q192071,
Q3384978,Pierre Ferrazzi,Pierre Ferrazzi,프랑스,Q192071,
Q3386355,Pierre Morice,Pierre Morice,프랑스,Q192071,
Q3417278,라파엘 산토스,라파엘 산토스,아르헨티나,Q192071,
Q3418532,Ramon Muller,Ramon Muller,아르헨티나,Q192071,
Q3420850,Raymond Fiori,Raymond Fiori,프랑스,Q192071,
Q342375,비오렐 몰도반,비오렐 몰도반,루마니아,Q192071,Dinu Viorel Moldovan
Q3426500,René Le Lamer,René Le Lamer,프랑스,Q192071,Rene Le Lamer
Q3426867,René Samzun,René Samzun,프랑스,Q192071,Rene Samzun
Q3438989,로제 가베,로제 가베,프랑스,Q192071,
Q3439285,Roger Moine,Roger Moine,프랑스,Q192071,
Q3461117,Sadek Boukhalfa,Sadek Boukhalfa,알제리,Q192071,
Q3461117,Sadek Boukhalfa,Sadek Boukhalfa,프랑스,Q192071,
Q3461137,사조 소우,사조 소우,세네갈,Q192071,사디오 소우
Q3471109,Samuel Fenillat,Samuel Fenillat,프랑스,Q192071,
